id,name,lat,lng,radius,riskLevel,riskScore,factors,lastUpdated,reportCount
zone-001,Connaught Place,28.6315,77.2167,500,safe,15,Well-lit area|High police presence|CCTV coverage|Crowded marketplace,2026-04-14T10:00:00Z,245
zone-002,India Gate Area,28.6129,77.2295,800,safe,10,Tourist area|Military presence|Open space|Well-maintained,2026-04-14T09:00:00Z,312
zone-003,Chandni Chowk,28.6506,77.2303,600,moderate,45,Crowded narrow lanes|Pickpocket reports|Traffic congestion|Limited emergency access,2026-04-14T08:00:00Z,189
zone-004,Paharganj,28.6442,77.2125,400,moderate,55,Tourist area with scams|Poor lighting at night|Narrow streets|Mixed reports,2026-04-14T07:00:00Z,156
zone-005,Dwarka Sector 21,28.5522,77.0581,700,safe,12,Planned colony|Good street lighting|Metro connectivity|Regular patrols,2026-04-14T06:00:00Z,98
zone-006,Yamuna Bank Area,28.6227,77.2583,500,high,75,Isolated area|Poor lighting|Low police presence|Flood-prone region,2026-04-14T05:00:00Z,67
zone-007,Sarojini Nagar Market,28.5744,77.1992,400,moderate,40,Very crowded|Pickpocket risk|Good during day|Risky at late night,2026-04-14T04:00:00Z,201
zone-008,South Extension,28.5713,77.2213,500,safe,18,Upscale market|Good security|Well-lit|Regular police patrol,2026-04-14T03:00:00Z,134
zone-009,Isolated Industrial Zone,28.6800,77.1500,600,critical,88,Deserted at night|No street lights|No CCTV|Multiple incident reports,2026-04-14T02:00:00Z,42
zone-010,Hauz Khas Village,28.5494,77.2001,350,safe,20,Popular nightlife|Tourist friendly|Good lighting|Security cameras,2026-04-14T01:00:00Z,178
zone-011,Karol Bagh,28.6514,77.1907,500,moderate,42,Shopping area|Moderate traffic|Some reports after dark|Crowded markets,2026-04-13T23:00:00Z,145
zone-012,Vasant Kunj,28.5199,77.1590,800,safe,14,Residential area|Malls nearby|Good infrastructure|Gated communities,2026-04-13T22:00:00Z,89
zone-013,Park Street,22.5529,88.3519,400,safe,18,Busy commercial street|Well-lit|Security presence|Upscale restaurants,2026-04-15T00:00:00Z,412
zone-014,Howrah Station Area,22.5836,88.3415,700,moderate,48,Extreme crowds|Theft reports|Confusing layout|High traffic,2026-04-15T00:00:00Z,856
zone-015,Salt Lake Sector V,22.5735,88.4331,800,safe,15,IT Hub|Good infrastructure|CCTV monitoring|Safe for women,2026-04-15T00:00:00Z,224
zone-016,Indiranagar 100ft Rd,12.9719,77.6412,500,safe,12,Popular nightlife|Very well-lit|Constant movement|Secure area,2026-04-15T00:00:00Z,567
zone-017,Silk Board Junction,12.9176,77.6233,600,moderate,42,Traffic congestion|Air pollution|Pedestrian safety risk|Active at all hours,2026-04-15T00:00:00Z,942
zone-p1,Park Street Police Station,22.5510,88.3530,200,safe,0,POLICE_STATION|24x7 Emergency|High security,2026-04-15T00:00:00Z,0
zone-p2,Lalbazar Police HQ,22.5730,88.3510,300,safe,0,POLICE_STATION|Headquarters|Central response,2026-04-15T00:00:00Z,0
zone-h1,ITC Royal Bengal,22.5440,88.3930,300,safe,5,HOTEL|Luxury security|Safe stay,2026-04-15T00:00:00Z,0
zone-h2,JW Marriott Kolkata,22.5450,88.3970,300,safe,5,HOTEL|Corporate security|Safe haven,2026-04-15T00:00:00Z,0
